Round,Pick #,Expected Board Slot,Strategy,Option #,Player,Team,Pos,Rank,R,HR,RBI,SB,AVG,OPS,ERA,WHIP,K/9,QS,SV,W
,,,,8,Josh Lowe,LAA,OF,253,47,13,48,17,0.244,0.716,,,,,,
,,,,9,Casey Mize,DET,SP,254,,,,,,,4.06,1.27,8.0,12,0,9
,,,,10,Nolan Schanuel,LAA,1B,255,68,16,62,6,0.270,0.783,,,,,,
,,,,11,Shane Smith,CWS,SP,256,,,,,,,4.37,1.35,8.2,13,0,9
,,,,12,Connelly Early,BOS,SP,257,,,,,,,3.69,1.29,9.0,2,0,2
,,,,13,Shane Bieber,TOR,SP,258,,,,,,,3.74,1.21,8.4,10,0,8
,,,,14,Jose Soriano,LAA,SP,259,,,,,,,3.68,1.38,8.4,16,0,11
,,,,15,Noah Cameron,KC,SP,260,,,,,,,4.31,1.35,7.4,12,0,9

21,252,251,Prospect upside swing,1,Sean Manaea,NYM,SP/RP,269,,,,,,,3.82,1.22,9.4,8,0,8
,,,,2,Brett Baty,NYM,2B/3B,270,41,14,44,4,0.248,0.736,,,,,,
